Name,Prize,Entrants
StumbleUpon Evergreen Classification Challenge,5000,625
Amazon.com - Employee Access Challenge,5000,1687
GigaOM WordPress Challenge: Splunk Innovation Prospect,25000,75
The Hewlett Foundation: Short Answer Scoring,100000,152
Stay Alert! The Ford Challenge,950,176
Liberty Mutual Group - Fire Peril Loss Cost,25000,634
CPROD1: Consumer PRODucts contest #1,10000,29
Principal Data Scientist at Impermium Corporation,10000,50
Global Energy Forecasting Competition 2012 - Wind Forecasting,7500,133
dunnhumby & hack/reduce Product Launch Challenge,5000,108
Otto Group Product Classification Challenge,10000,3514
Africa Soil Property Prediction Challenge,8000,1233
Harvard Business Review 'Vision Statement' Prospect,2500,0
Accelerometer Biometric Competition,5000,633
The ICML 2013 Whale Challenge - Right Whale Redux,500,129
Multi-modal Gesture Recognition,10000,53
GE Hospital Quest,100000,0
Predict HIV Progression,500,107
EMI Music Data Science Hackathon - July 21st - 24 hours,10000,133
CONNECTOMICS,3000,143
GE Flight Quest,250000,173
Traveling Santa Problem,3000,355
Observing Dark Worlds,20000,353
RTA Freeway Travel Time Prediction,10000,356
MLSP 2013 Bird Classification Challenge,1800,79
Wikipedia's Participation Challenge,10000,90
Greek Media Monitoring Multilabel Classification (WISE 2014),680,120
Global Energy Forecasting Competition 2012 - Load Forecasting,7500,104
Flight Quest 2: Flight Optimization, Main Phase,220000,121
Challenges in Representation Learning: Multi-modal Learning,500,0
Influencers in Social Networks,2350,132
Personalized Web Search Challenge,9000,194
KDD Cup 2014 - Predicting Excitement at DonorsChoose.org,2000,472
March Machine Learning Mania,15000,248
UPenn and Mayo Clinic's Seizure Detection Challenge,8000,200
The Hewlett Foundation: Automated Essay Scoring,100000,154
Partly Sunny with a Chance of Hashtags,500,259
ICDAR2013 - Gender Prediction from Handwriting,1000,190
The Hunt for Prohibited Content,25000,285
Driver Telematics Analysis,30000,1528
Tradeshift Text Classification,5000,375
See Click Predict Fix - Hackathon,1000,80
March Machine Learning Mania 2015,15000,341
How Much Did It Rain?,500,321
Psychopathy Prediction Based on Twitter Usage,1000,111
AMS 2013-2014 Solar Energy Prediction Contest,1000,160
Job Recommendation Challenge,20000,81
Data Mining Hackathon on BIG DATA (7GB) Best Buy mobile web site,1000,25
Helping Santa's Helpers,20000,439
Give Me Some Credit,5000,925
KDD Cup 2013 - Author-Paper Identification Challenge (Track 1),7500,553
Raising Money to Fund an Organizational Mission,10000,27
R Package Recommendation Engine,150,57
Display Advertising Challenge,16000,718
The Marinexplore and Cornell University Whale Detection Challenge,10000,245
Challenges in Representation Learning: Facial Expression Recognition Challenge,500,56
DecMeg2014 - Decoding the Human Brain,5000,267
National Data Science Bowl,175000,1049
Photo Quality Prediction,5000,200
What Do You Know?,5000,239
Don't Overfit!,500,259
Loan Default Prediction - Imperial College London,10000,675
The ICML 2013 Bird Challenge,500,76
Higgs Boson Machine Learning Challenge,13000,1785
BCI Challenge @ NER 2015,1000,260
CHALEARN Gesture Challenge 2,10000,30
Follow the Money: Investigative Reporting Prospect,1000,0
RecSys2013: Yelp Business Rating Prediction,500,158
The Big Data Combine Engineered by BattleFin,18500,425
Algorithmic Trading Challenge,10000,111
Semi-Supervised Feature Learning,500,26
Mapping Dark Matter,3000,70
EMC Israel Data Science Challenge,10000,86
EMC Data Science Global Hackathon (Air Quality Prediction),7030,110
See Click Predict Fix,4000,532
ICFHR 2012 - Arabic Writer Identification,1000,42
Visualize the State of Public Education in Colorado,5000,0
Challenges in Representation Learning: The Black Box Learning Challenge,500,211
Benchmark Bond Trade Price Challenge,17500,264
Leaping Leaderboard Leapfrogs,900,0
The Random Number Grand Challenge,1000,205
Event Recommendation Engine Challenge,5000,223
Job Salary Prediction,6000,289
Flight Quest 2: Flight Optimization, Final Phase,220000,33
PAKDD 2014 - ASUS Malfunctional Components Prediction,8500,610
Restaurant Revenue Prediction,30000,2257
Belkin Energy Disaggregation Competition,25000,165
KDD Cup 2013 - Author Disambiguation Challenge (Track 2),7500,237
Click-Through Rate Prediction,15000,1604
U.S. Census Return Rate Challenge,25000,243
Data Mining Hackathon on (20 mb) Best Buy mobile web site - ACM SF Bay Area Chapter,600,96
Online Product Sales,22500,363
dunnhumby's Shopper Challenge,10000,277
Packing Santa's Sleigh,10000,362
Blue Book for Bulldozers,10000,475
ICDAR2013 - Handwriting Stroke Recovery from Offline Data,1000,40
Predicting a Biological Response,20000,699
Merck Molecular Activity Challenge,40000,236
Predict Closed Questions on Stack Overflow,20000,161
Cause-effect pairs,10000,266
Galaxy Zoo - The Galaxy Challenge,16000,326
Practice Fusion Diabetes Classification,10000,146
Heritage Health Prize,500000,1353
KDD Cup 2012, Track 2,8000,163
Practice Fusion Analyze This! 2012 - Open Challenge,10000,0
KDD Cup 2012, Track 1,8000,657
Don't Get Kicked!,10000,570
Personality Prediction Based on Twitter Stream,500,89
Microsoft Malware Classification Challenge (BIG 2015),16000,377
Predicting Parkinson's Disease Progression with Smartphone Data,10000,0
Allstate Purchase Prediction Challenge,50000,1568
Claim Prediction Challenge (Allstate),10000,102
Personalize Expedia Hotel Searches - ICDM 2013,25000,337
Acquire Valued Shoppers Challenge,30000,952
American Epilepsy Society Seizure Prediction Challenge,25000,504
Practice Fusion Analyze This! 2012 - Prediction Challenge,10500,0